DOW,HOD,AHN,CMC,KWH,NDH,NLT,PMH,POH,PWH,PYN,QEH,QMH,RH,SJH,TKO,TMH,TSH,UCH,YCH
3,0,1.441742655,1.235055724,3.120567376,3.662613982,0.2431610942,2.867274569,2.131712259,5.320162107,3.003039514,3.83485309,2.196555218,1.537993921,0.03242147923,3.811550152,3.178318136,-0.2816616008,4.505572442,2.875379939
3,1,1.446339017,1.491474423,3.762286861,3.55667001,0.2286860582,2.803410231,2.162487462,5.589769308,3.06218656,4.007021063,2.117352056,1.363089268,0.03610832497,3.926780341,3.454363089,-0.222668004,4.575727182,3.002006018
3,2,1.537537538,1.760760761,4.054054054,3.312312312,0.3003003003,2.706706707,2.292292292,5.831831832,3.038038038,4.206206206,2.074074074,1.385385385,0.03503503504,4.071071071,3.60960961,-0.1801801802,4.668668669,2.951951952
3,3,1.488465396,1.72116349,4.125376128,3.754262788,0.3430290873,2.998996991,2.427281846,5.944834504,3.22668004,4.342026078,2.289869609,1.592778335,0.06118355065,4.368104313,3.682046138,-0.1614844534,4.810431294,3.005015045
3,4,1.551269036,1.880203046,4.396954315,3.640609137,0.3025380711,2.840609137,2.356345178,6.170558376,3.242639594,4.569543147,2.282233503,1.41928934,0.06395939086,4.45177665,3.775634518,-0.1421319797,4.96751269,2.962436548
3,5,1.648429585,1.985815603,4.58662614,3.439716312,0.2998986829,2.773049645,2.36372847,6.346504559,3.161094225,4.802431611,2.283687943,1.367781155,0.07396149949,4.530901722,3.856129686,-0.1296859169,5.126646403,2.933130699
3,6,1.707614213,2.063959391,4.684263959,3.191878173,0.2852791878,2.570558376,2.308629442,6.475126904,3.03857868,4.940101523,2.287309645,1.391878173,0.06395939086,4.598984772,3.820304569,-0.1299492386,5.163451777,2.578680203
3,7,1.751503006,2.098196393,4.588176353,2.992985972,0.2765531062,2.283567134,2.146292585,6.716432866,2.903807615,5.105210421,2.301603206,1.385771543,0.05310621242,4.509018036,3.856713427,-0.1563126253,5.260521042,2.086172345
3,8,1.726358149,2.015090543,4.73943662,2.88832998,0.1961770624,2.29778672,1.943661972,6.846076459,2.687122736,5.634808853,2.47082495,1.266599598,0.06237424547,4.428571429,3.812877264,0.5663983903,5.621730382,2.026156942
3,9,1.224242424,1.377777778,4.026262626,2.309090909,0.05151515152,2.213131313,1.150505051,6.697979798,1.824242424,5.816161616,2.214141414,0.9464646465,0.04444444444,3.797979798,3.474747475,0.7848484848,5.613131313,1.641414141
3,10,1.075604839,1.012096774,3.618951613,2.233870968,0.04637096774,2.074596774,1.046370968,6.20766129,1.423387097,5.351814516,1.969758065,0.8790322581,0.1048387097,3.100806452,2.928427419,1.045362903,5.33266129,1.571572581
3,11,0.964,0.739,2.253,1.888,0.088,1.821,1.028,4.949,1.199,4.158,1.448,1.004,0.158,2.193,2.441,1.155,4.266,1.279
3,12,0.9698795181,0.797188755,1.359437751,1.831325301,0.1686746988,1.568273092,1.090361446,3.902610442,1.240963855,2.784136546,1.272088353,1.280120482,0.1536144578,1.66064257,2.126506024,1.252008032,3.18373494,1.293172691
3,13,1.198216056,1.183349851,1.735381566,2.113974232,0.4162537166,1.674925669,1.372646184,3.50148662,1.495540139,2.39147671,1.483647175,1.497522299,0.1308225966,1.815659068,2.25074331,1.415262636,2.860257681,1.627353816
3,14,1.430722892,1.412650602,2.401606426,2.411646586,0.7439759036,2.003012048,1.847389558,3.332329317,1.915662651,2.480923695,1.800200803,1.858433735,0.1375502008,2.3062249,2.65060241,1.486947791,3.380522088,2.190763052
3,15,1.495449949,1.463094034,2.518705763,2.639029323,0.8705763397,2.456016178,2.148634985,3.483316481,2.185035389,2.701718908,1.976744186,2.174924166,0.1304347826,2.70677452,2.895854398,1.469160768,4.155712841,2.411526795
3,16,1.535641548,1.443991853,2.599796334,2.804480652,0.8971486762,2.780040733,2.288187373,3.618126273,2.192464358,2.906313646,1.960285132,2.231160896,0.1303462322,3.00203666,2.986761711,1.175152749,4.346232179,2.442973523
3,17,1.651911469,1.315895372,2.447686117,2.860160966,0.8189134809,2.875251509,2.299798793,3.711267606,2.115694165,3.110663984,1.829979879,2.081488934,0.08249496982,3.106639839,2.895372233,0.7746478873,4.375251509,2.379275654
3,18,1.82552343,1.203389831,2.315054835,2.868394816,0.6221335992,2.803589232,2.25224327,3.685942173,1.888334995,3.159521436,1.750747757,1.88334995,0.07078763709,3.016949153,2.690927218,0.6440677966,4.201395813,2.111665005
3,19,1.925925926,1.067067067,2.102102102,2.836836837,0.4774774775,2.618618619,2.124124124,3.705705706,1.960960961,3.189189189,1.791791792,1.702702703,0.07807807808,2.918918919,2.474474474,0.7817817818,4.079079079,2.119119119
3,20,1.921827411,1.043654822,2.069035533,3.072081218,0.5492385787,2.444670051,2.117766497,4.03248731,2.450761421,3.320812183,1.974619289,1.693401015,0.07918781726,2.932994924,2.371573604,-0.4263959391,4.288324873,2.405076142
3,21,1.886203424,1.069486405,2.330312185,3.411883182,0.5871097684,2.744209466,2.198388721,4.438066465,2.795568983,3.501510574,2.182275932,1.887210473,0.07452165156,3.187311178,2.4612286,-0.3806646526,4.512588117,2.528700906
3,22,1.740220662,1.06218656,2.554663992,3.571715145,0.5305917753,2.921765296,2.204613842,4.819458375,2.887662989,3.631895687,2.314944835,1.929789368,0.04012036108,3.434302909,2.634904714,-0.3570712136,4.59779338,2.578736209
3,23,1.482447342,1.057171515,2.738214644,3.764292879,0.4122367101,2.911735206,2.148445336,5.05115346,2.96890672,3.735205617,2.321965898,1.823470411,0.03309929789,3.688064193,2.818455366,-0.3490471414,4.565697091,2.619859579
4,0,1.441742655,1.235055724,3.120567376,3.662613982,0.2431610942,2.867274569,2.131712259,5.320162107,3.003039514,3.83485309,2.196555218,1.537993921,0.03242147923,3.811550152,3.178318136,-0.2816616008,4.505572442,2.875379939
4,1,1.446339017,1.491474423,3.762286861,3.55667001,0.2286860582,2.803410231,2.162487462,5.589769308,3.06218656,4.007021063,2.117352056,1.363089268,0.03610832497,3.926780341,3.454363089,-0.222668004,4.575727182,3.002006018
4,2,1.537537538,1.760760761,4.054054054,3.312312312,0.3003003003,2.706706707,2.292292292,5.831831832,3.038038038,4.206206206,2.074074074,1.385385385,0.03503503504,4.071071071,3.60960961,-0.1801801802,4.668668669,2.951951952
4,3,1.488465396,1.72116349,4.125376128,3.754262788,0.3430290873,2.998996991,2.427281846,5.944834504,3.22668004,4.342026078,2.289869609,1.592778335,0.06118355065,4.368104313,3.682046138,-0.1614844534,4.810431294,3.005015045
4,4,1.551269036,1.880203046,4.396954315,3.640609137,0.3025380711,2.840609137,2.356345178,6.170558376,3.242639594,4.569543147,2.282233503,1.41928934,0.06395939086,4.45177665,3.775634518,-0.1421319797,4.96751269,2.962436548
4,5,1.648429585,1.985815603,4.58662614,3.439716312,0.2998986829,2.773049645,2.36372847,6.346504559,3.161094225,4.802431611,2.283687943,1.367781155,0.07396149949,4.530901722,3.856129686,-0.1296859169,5.126646403,2.933130699
4,6,1.707614213,2.063959391,4.684263959,3.191878173,0.2852791878,2.570558376,2.308629442,6.475126904,3.03857868,4.940101523,2.287309645,1.391878173,0.06395939086,4.598984772,3.820304569,-0.1299492386,5.163451777,2.578680203
4,7,1.751503006,2.098196393,4.588176353,2.992985972,0.2765531062,2.283567134,2.146292585,6.716432866,2.903807615,5.105210421,2.301603206,1.385771543,0.05310621242,4.509018036,3.856713427,-0.1563126253,5.260521042,2.086172345
4,8,1.726358149,2.015090543,4.73943662,2.88832998,0.1961770624,2.29778672,1.943661972,6.846076459,2.687122736,5.634808853,2.47082495,1.266599598,0.06237424547,4.428571429,3.812877264,0.5663983903,5.621730382,2.026156942
4,9,1.224242424,1.377777778,4.026262626,2.309090909,0.05151515152,2.213131313,1.150505051,6.697979798,1.824242424,5.816161616,2.214141414,0.9464646465,0.04444444444,3.797979798,3.474747475,0.7848484848,5.613131313,1.641414141
4,10,1.075604839,1.012096774,3.618951613,2.233870968,0.04637096774,2.074596774,1.046370968,6.20766129,1.423387097,5.351814516,1.969758065,0.8790322581,0.1048387097,3.100806452,2.928427419,1.045362903,5.33266129,1.571572581
4,11,0.964,0.739,2.253,1.888,0.088,1.821,1.028,4.949,1.199,4.158,1.448,1.004,0.158,2.193,2.441,1.155,4.266,1.279
4,12,0.9698795181,0.797188755,1.359437751,1.831325301,0.1686746988,1.568273092,1.090361446,3.902610442,1.240963855,2.784136546,1.272088353,1.280120482,0.1536144578,1.66064257,2.126506024,1.252008032,3.18373494,1.293172691
4,13,1.198216056,1.183349851,1.735381566,2.113974232,0.4162537166,1.674925669,1.372646184,3.50148662,1.495540139,2.39147671,1.483647175,1.497522299,0.1308225966,1.815659068,2.25074331,1.415262636,2.860257681,1.627353816
4,14,1.430722892,1.412650602,2.401606426,2.411646586,0.7439759036,2.003012048,1.847389558,3.332329317,1.915662651,2.480923695,1.800200803,1.858433735,0.1375502008,2.3062249,2.65060241,1.486947791,3.380522088,2.190763052
4,15,1.495449949,1.463094034,2.518705763,2.639029323,0.8705763397,2.456016178,2.148634985,3.483316481,2.185035389,2.701718908,1.976744186,2.174924166,0.1304347826,2.70677452,2.895854398,1.469160768,4.155712841,2.411526795
4,16,1.535641548,1.443991853,2.599796334,2.804480652,0.8971486762,2.780040733,2.288187373,3.618126273,2.192464358,2.906313646,1.960285132,2.231160896,0.1303462322,3.00203666,2.986761711,1.175152749,4.346232179,2.442973523
4,17,1.651911469,1.315895372,2.447686117,2.860160966,0.8189134809,2.875251509,2.299798793,3.711267606,2.115694165,3.110663984,1.829979879,2.081488934,0.08249496982,3.106639839,2.895372233,0.7746478873,4.375251509,2.379275654
4,18,1.82552343,1.203389831,2.315054835,2.868394816,0.6221335992,2.803589232,2.25224327,3.685942173,1.888334995,3.159521436,1.750747757,1.88334995,0.07078763709,3.016949153,2.690927218,0.6440677966,4.201395813,2.111665005
4,19,1.925925926,1.067067067,2.102102102,2.836836837,0.4774774775,2.618618619,2.124124124,3.705705706,1.960960961,3.189189189,1.791791792,1.702702703,0.07807807808,2.918918919,2.474474474,0.7817817818,4.079079079,2.119119119
4,20,1.921827411,1.043654822,2.069035533,3.072081218,0.5492385787,2.444670051,2.117766497,4.03248731,2.450761421,3.320812183,1.974619289,1.693401015,0.07918781726,2.932994924,2.371573604,-0.4263959391,4.288324873,2.405076142
4,21,1.886203424,1.069486405,2.330312185,3.411883182,0.5871097684,2.744209466,2.198388721,4.438066465,2.795568983,3.501510574,2.182275932,1.887210473,0.07452165156,3.187311178,2.4612286,-0.3806646526,4.512588117,2.528700906
4,22,1.740220662,1.06218656,2.554663992,3.571715145,0.5305917753,2.921765296,2.204613842,4.819458375,2.887662989,3.631895687,2.314944835,1.929789368,0.04012036108,3.434302909,2.634904714,-0.3570712136,4.59779338,2.578736209
4,23,1.482447342,1.057171515,2.738214644,3.764292879,0.4122367101,2.911735206,2.148445336,5.05115346,2.96890672,3.735205617,2.321965898,1.823470411,0.03309929789,3.688064193,2.818455366,-0.3490471414,4.565697091,2.619859579
5,0,1.441742655,1.235055724,3.120567376,3.662613982,0.2431610942,2.867274569,2.131712259,5.320162107,3.003039514,3.83485309,2.196555218,1.537993921,0.03242147923,3.811550152,3.178318136,-0.2816616008,4.505572442,2.875379939
5,1,1.446339017,1.491474423,3.762286861,3.55667001,0.2286860582,2.803410231,2.162487462,5.589769308,3.06218656,4.007021063,2.117352056,1.363089268,0.03610832497,3.926780341,3.454363089,-0.222668004,4.575727182,3.002006018
5,2,1.537537538,1.760760761,4.054054054,3.312312312,0.3003003003,2.706706707,2.292292292,5.831831832,3.038038038,4.206206206,2.074074074,1.385385385,0.03503503504,4.071071071,3.60960961,-0.1801801802,4.668668669,2.951951952
5,3,1.488465396,1.72116349,4.125376128,3.754262788,0.3430290873,2.998996991,2.427281846,5.944834504,3.22668004,4.342026078,2.289869609,1.592778335,0.06118355065,4.368104313,3.682046138,-0.1614844534,4.810431294,3.005015045
5,4,1.551269036,1.880203046,4.396954315,3.640609137,0.3025380711,2.840609137,2.356345178,6.170558376,3.242639594,4.569543147,2.282233503,1.41928934,0.06395939086,4.45177665,3.775634518,-0.1421319797,4.96751269,2.962436548
5,5,1.648429585,1.985815603,4.58662614,3.439716312,0.2998986829,2.773049645,2.36372847,6.346504559,3.161094225,4.802431611,2.283687943,1.367781155,0.07396149949,4.530901722,3.856129686,-0.1296859169,5.126646403,2.933130699
5,6,1.707614213,2.063959391,4.684263959,3.191878173,0.2852791878,2.570558376,2.308629442,6.475126904,3.03857868,4.940101523,2.287309645,1.391878173,0.06395939086,4.598984772,3.820304569,-0.1299492386,5.163451777,2.578680203
5,7,1.751503006,2.098196393,4.588176353,2.992985972,0.2765531062,2.283567134,2.146292585,6.716432866,2.903807615,5.105210421,2.301603206,1.385771543,0.05310621242,4.509018036,3.856713427,-0.1563126253,5.260521042,2.086172345
5,8,1.726358149,2.015090543,4.73943662,2.88832998,0.1961770624,2.29778672,1.943661972,6.846076459,2.687122736,5.634808853,2.47082495,1.266599598,0.06237424547,4.428571429,3.812877264,0.5663983903,5.621730382,2.026156942
5,9,1.224242424,1.377777778,4.026262626,2.309090909,0.05151515152,2.213131313,1.150505051,6.697979798,1.824242424,5.816161616,2.214141414,0.9464646465,0.04444444444,3.797979798,3.474747475,0.7848484848,5.613131313,1.641414141
5,10,1.075604839,1.012096774,3.618951613,2.233870968,0.04637096774,2.074596774,1.046370968,6.20766129,1.423387097,5.351814516,1.969758065,0.8790322581,0.1048387097,3.100806452,2.928427419,1.045362903,5.33266129,1.571572581
5,11,0.964,0.739,2.253,1.888,0.088,1.821,1.028,4.949,1.199,4.158,1.448,1.004,0.158,2.193,2.441,1.155,4.266,1.279
5,12,0.9698795181,0.797188755,1.359437751,1.831325301,0.1686746988,1.568273092,1.090361446,3.902610442,1.240963855,2.784136546,1.272088353,1.280120482,0.1536144578,1.66064257,2.126506024,1.252008032,3.18373494,1.293172691
5,13,1.198216056,1.183349851,1.735381566,2.113974232,0.4162537166,1.674925669,1.372646184,3.50148662,1.495540139,2.39147671,1.483647175,1.497522299,0.1308225966,1.815659068,2.25074331,1.415262636,2.860257681,1.627353816
5,14,1.430722892,1.412650602,2.401606426,2.411646586,0.7439759036,2.003012048,1.847389558,3.332329317,1.915662651,2.480923695,1.800200803,1.858433735,0.1375502008,2.3062249,2.65060241,1.486947791,3.380522088,2.190763052
5,15,1.495449949,1.463094034,2.518705763,2.639029323,0.8705763397,2.456016178,2.148634985,3.483316481,2.185035389,2.701718908,1.976744186,2.174924166,0.1304347826,2.70677452,2.895854398,1.469160768,4.155712841,2.411526795
5,16,1.535641548,1.443991853,2.599796334,2.804480652,0.8971486762,2.780040733,2.288187373,3.618126273,2.192464358,2.906313646,1.960285132,2.231160896,0.1303462322,3.00203666,2.986761711,1.175152749,4.346232179,2.442973523
5,17,1.651911469,1.315895372,2.447686117,2.860160966,0.8189134809,2.875251509,2.299798793,3.711267606,2.115694165,3.110663984,1.829979879,2.081488934,0.08249496982,3.106639839,2.895372233,0.7746478873,4.375251509,2.379275654
5,18,1.82552343,1.203389831,2.315054835,2.868394816,0.6221335992,2.803589232,2.25224327,3.685942173,1.888334995,3.159521436,1.750747757,1.88334995,0.07078763709,3.016949153,2.690927218,0.6440677966,4.201395813,2.111665005
5,19,1.925925926,1.067067067,2.102102102,2.836836837,0.4774774775,2.618618619,2.124124124,3.705705706,1.960960961,3.189189189,1.791791792,1.702702703,0.07807807808,2.918918919,2.474474474,0.7817817818,4.079079079,2.119119119
5,20,1.921827411,1.043654822,2.069035533,3.072081218,0.5492385787,2.444670051,2.117766497,4.03248731,2.450761421,3.320812183,1.974619289,1.693401015,0.07918781726,2.932994924,2.371573604,-0.4263959391,4.288324873,2.405076142
5,21,1.886203424,1.069486405,2.330312185,3.411883182,0.5871097684,2.744209466,2.198388721,4.438066465,2.795568983,3.501510574,2.182275932,1.887210473,0.07452165156,3.187311178,2.4612286,-0.3806646526,4.512588117,2.528700906
5,22,1.740220662,1.06218656,2.554663992,3.571715145,0.5305917753,2.921765296,2.204613842,4.819458375,2.887662989,3.631895687,2.314944835,1.929789368,0.04012036108,3.434302909,2.634904714,-0.3570712136,4.59779338,2.578736209
5,23,1.482447342,1.057171515,2.738214644,3.764292879,0.4122367101,2.911735206,2.148445336,5.05115346,2.96890672,3.735205617,2.321965898,1.823470411,0.03309929789,3.688064193,2.818455366,-0.3490471414,4.565697091,2.619859579
6,0,1.441742655,1.235055724,3.120567376,3.662613982,0.2431610942,2.867274569,2.131712259,5.320162107,3.003039514,3.83485309,2.196555218,1.537993921,0.03242147923,3.811550152,3.178318136,-0.2816616008,4.505572442,2.875379939
